순위,상품코드,판매상품ID,상품명,정가,판매가,할인율,적립율,적립예정포인트,인물,출판사,발행일자,분야
22,9791198129130,S000201245159,안밥모 베스트 유아식,"22,200","19,980",10%,5%,"1,110",이샘 외,래디시,20230324,요리
23,9791161341217,S000061695095,베이킹은 과학이다: 제빵편,"26,000","23,400",10%,5%,"1,300",카지하라 요시하루 외,터닝포인트,20220926,요리
24,9791161340098,S000001800610,베이킹은 과학이다,"23,000","20,700",10%,5%,"1,150",나카야마 히로노리 외,터닝포인트,20171110,요리
25,9791160079814,S000211497016,카페 샌드위치 마스터 클래스,"24,000","21,600",10%,5%,"1,200",노정희,한스미디어,20231127,요리
26,9788957752937,S000061351003,참 쉬운  평생 반찬 요리책,"22,000","19,800",10%,5%,"1,100",노고은 외,아마존북스,20220607,요리
27,9788931461794,S000000555409,와인 폴리(매그넘 에디션),"30,000","27,000",10%,5%,"1,500",Madeline Puckette 외,영진닷컴,20200106,요리
28,9791161508108,S000212166601,10분 완성 초간단 도시락 레시피 100,"17,800","16,020",10%,5%,890,오민주,시원북스,20240206,요리
29,9791140704668,S000202678619,1분 요리 뚝딱이형,"22,000","19,800",10%,5%,"1,100",뚝딱이형,길벗,20230622,요리
30,9791186519905,S000214094381,구움과자의 기술,"33,000","29,700",10%,5%,"1,650",정용현 외,비앤씨월드,20240828,요리
1,9791198610607,S000212754154,알사탕 제조법,"10,000","9,000",10%,5%,500,백희나,스토리보울,20240321,유아(0~7세)
2,9791171180219,S000213492719,디즈니 픽사 인사이드 아웃 2 무비동화,"12,000","10,800",10%,5%,600,에린 팰리갠트,애플비북스,20240615,유아(0~7세)
3,9788966351985,S000212771015,늪 100층짜리 집,"15,000","13,500",10%,5%,750,이와이 도시오,북뱅크,20240503,유아(0~7세)
4,9791193506332,S000212302880,무례한 친구가 생겼어요,"16,700","15,030",10%,5%,830,크리스티나 퍼니발,리틀포레스트,20240221,유아(0~7세)
5,9791198610614,S000212754158,알사탕,"15,000","13,500",10%,5%,750,백희나,스토리보울,20240321,유아(0~7세)
6,9791158364519,S000212461447,감정 호텔,"15,000","13,500",10%,5%,750,리디아 브란코비치,책읽는곰,20240223,유아(0~7세)
7,9788966350278,S000001034384,바다 100층짜리 집,"11,000","9,900",10%,5%,550,이와이 도시오,북뱅크,20140925,유아(0~7세)
8,9791165383763,S000211731131,새콤달콤 캐치! 티니핑 마음이 빛나는 동화 1: 사라진 매직 슈가볼,"13,000","11,700",10%,5%,650,SAMG,아이휴먼,20231226,유아(0~7세)
9,9788964963678,S000001013760,오싹오싹 팬티!,"14,000","12,600",10%,5%,700,에런 레이놀즈,토토북,20230515,유아(0~7세)
10,9791158364083,S000201975438,오싹오싹 편의점,"14,000","12,600",10%,5%,700,김영진,책읽는곰,20230522,유아(0~7세)
11,9788926212660,S000202672966,디즈니 픽사 엘리멘탈 무비동화,"12,000","10,800",10%,5%,600,이지안,애플비북스,20230615,유아(0~7세)
12,9788936446819,S000000611323,수박 수영장,"14,000","12,600",10%,5%,700,안녕달,창비,20230112,유아(0~7세)
13,9788964964767,S000061694428,오싹오싹 크레용!,"14,000","12,600",10%,5%,700,에런 레이놀즈,토토북,20220823,유아(0~7세)
14,9791198610621,S000212911182,장수탕 선녀님,"15,000","13,500",10%,5%,750,백희나,스토리보울,20240404,유아(0~7세)
15,9788926212707,S000211808899,디즈니 위시 무비동화,"12,000","10,800",10%,5%,600,수잔 프랜시스,애플비,20240105,유아(0~7세)
16,9791169812085,S000213675080,츠츠츠츠,"16,800","15,120",10%,5%,840,이지은,사계절,20240702,유아(0~7세)
17,9788961708531,S000000954960,사랑해 사랑해 사랑해(출간 15주년 기념판),"12,800","11,520",10%,5%,640,버나뎃 로제티 슈스탁,보물창고,20211230,유아(0~7세)
18,9788959761593,S000000909143,바다 탐험대 옥토넛: 깊고 넓은 신비한 바다 여행,"13,500","12,150",10%,5%,670,메오미,문학수첩리틀북,20140627,유아(0~7세)
19,9791158363925,S000200645174,네 기분은 어떤 색깔이니?,"14,000","12,600",10%,5%,700,최숙희,책읽는곰,20230109,유아(0~7세)
20,9788943306090,S000000672020,사과가 쿵!,"11,000","9,900",10%,5%,550,다다 히로시,보림,20090620,유아(0~7세)
21,9788936429232,S000213057392,당근 할머니,"14,000","12,600",10%,5%,700,안녕달,창비,20240503,유아(0~7세)
